統計項目別,細項,樣本數（人）,1個月（含）內（%）,超過1個月~3個月（含）（%）,超過3個月~6個月（含）（%）,超過6個月~9個月（含）（%）,超過9個月~12個月（含）（%）,超過1年（%）,平均尋職期間（月）
性別,男,1825,65.21,20.86,7.24,0.99,2.76,2.94,2.1
性別,女,2185,71.7,17.27,7.44,1.63,0.91,1.05,1.51
年齡,15-19歲,127,84.76,13.08,2.16,0,0,0,0.69
年齡,20-24歲,1165,71.62,18.49,7.27,1.27,0.71,0.63,1.39
年齡,25-29歲,2718,64.37,20.18,8.09,1.52,2.75,3.09,2.2
教育程度,國中及以下,89,74.5,18.51,5.4,0,0.01,1.58,1.44
教育程度,高中（職）,869,77.36,16.22,4.2,0.64,0.77,0.82,1.18
教育程度,專科,167,78.13,14.06,5.4,0,1.26,1.14,1.25
教育程度,大學,2556,64.76,19.89,8.6,1.82,2.42,2.51,2.1
教育程度,研究所,329,59.38,24.76,10.19,1.14,2.04,2.49,2.06
